EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,1,2,Female,Sales Executive,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5
2,49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,1,3,Male,Research Scientist,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7
4,37,Yes,Travel_Rarely,Research & Development,2,2,Other,1,4,Male,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0
5,33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,1,4,Female,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0
7,27,No,Travel_Rarely,Research & Development,2,1,Medical,1,1,Male,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2
8,32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,1,4,Male,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6
10,59,No,Travel_Rarely,Research & Development,3,3,Medical,1,3,Female,Laboratory Technician,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0
11,30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,1,4,Male,Laboratory Technician,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0
12,38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,4,Male,Manufacturing Director,3,Single,9526,0,No,21,4,2,0,10,2,3,9,7,1,8
13,36,No,Travel_Rarely,Research & Development,27,3,Medical,1,3,Male,Healthcare Representative,3,Married,5237,6,No,13,3,2,2,17,3,2,7,7,7,7
